Model,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Best_Val_Acc,Epochs,Training_Min,Total_Params,EUS_F1,Gill_F1,Healthy_F1,RedSpot_F1
VGG16,0.9268,0.9271,0.9268,0.9266,0.9342,10,389.3,14847044,0.8877,0.957,0.9382,0.9205
MobileNetV2,0.9596,0.9596,0.9596,0.9596,0.9676,35,112.0,2587972,0.9379,0.9802,0.9733,0.9454
