Class,Precision,Recall,F1,Support
EUS,0.9457202505219207,0.9301848049281314,0.937888198757764,487.0
gill,0.9737335834896811,0.9866920152091255,0.9801699716713881,526.0
healthy,0.977818853974122,0.9688644688644689,0.9733210671573137,546.0
red_spot,0.9402173913043478,0.9505494505494505,0.9453551912568307,546.0
