Combination,Experiment,Original_Feature_Dim,PCA_Feature_Dim,Variance_Retained_%,Accuracy,Precision,Recall,F1_Score,Training_Time_s,PCA_Time_s,Total_Time_s
VGG16,NO_PCA,512,512,100.0,0.9439429928741092,0.9438437704694108,0.9439429928741092,0.9438743053335208,12.746413230895996,0.0,12.746413230895996
VGG16,WITH_PCA,512,271,95.0226821899414,0.9187648456057007,0.9186162286624722,0.9187648456057007,0.9184233645935931,4.163977384567261,0.9306802749633789,5.09465765953064
MobileNetV2,NO_PCA,1280,1280,100.0,0.9691211401425178,0.9691205292531757,0.9691211401425178,0.9690942422450483,11.479309558868408,0.0,11.479309558868408
MobileNetV2,WITH_PCA,1280,723,95.01370239257812,0.9657957244655582,0.9657352425681436,0.9657957244655582,0.9657560541383435,25.576934099197388,3.7524797916412354,29.329413890838623
ConvNeXt,NO_PCA,768,768,100.0,0.9524940617577197,0.9523653558266973,0.9524940617577197,0.9523901369605059,8.571001529693604,0.0,8.571001529693604
ConvNeXt,WITH_PCA,768,235,95.00111389160156,0.9064133016627078,0.9068327240740356,0.9064133016627078,0.9064736240453782,1.900019645690918,0.9750916957855225,2.8751113414764404
VGG16_plus_MobileNetV2,NO_PCA,1792,1792,100.0,0.9724465558194775,0.9725609830884512,0.9724465558194775,0.9724801714493235,49.68303418159485,0.0,49.68303418159485
VGG16_plus_MobileNetV2,WITH_PCA,1792,351,95.01649475097656,0.9548693586698337,0.9547447652637292,0.9548693586698337,0.9547443512426353,36.21512198448181,6.744756460189819,42.95987844467163
VGG16_plus_ConvNeXt,NO_PCA,1280,1280,100.0,0.9572446555819477,0.9572105094634847,0.9572446555819477,0.9571864695154735,134.15737009048462,0.0,134.15737009048462
VGG16_plus_ConvNeXt,WITH_PCA,1280,286,95.01883697509766,0.9244655581947744,0.9241718698678443,0.9244655581947744,0.9241835814912673,6.390021085739136,2.8176255226135254,9.207646608352661
MobileNetV2_plus_ConvNeXt,NO_PCA,2048,2048,100.0,0.9795724465558194,0.9795741678316714,0.9795724465558194,0.9795675302836682,16.590201139450073,0.0,16.590201139450073
MobileNetV2_plus_ConvNeXt,WITH_PCA,2048,846,95.00247192382812,0.973396674584323,0.9733371474747228,0.973396674584323,0.973326450407333,40.60400581359863,8.650861024856567,49.2548668384552
VGG16_plus_MobileNetV2_plus_ConvNeXt,NO_PCA,2560,2560,100.0,0.9767220902612826,0.9767438756047974,0.9767220902612826,0.9767307548703381,72.58208274841309,0.0,72.58208274841309
VGG16_plus_MobileNetV2_plus_ConvNeXt,WITH_PCA,2560,370,95.00698852539062,0.9619952494061758,0.9618879155767288,0.9619952494061758,0.9618478219815935,27.07031273841858,15.386897563934326,42.457210302352905
