epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5936805605888367,9.999999747378752e-05,0.9856081604957581,0.8111587762832642,0.5617562532424927
1,0.7905684113502502,9.999999747378752e-05,0.5605350732803345,0.8655221462249756,0.41439712047576904
2,0.8477294445037842,9.999999747378752e-05,0.4275326132774353,0.8941344618797302,0.3394189774990082
3,0.8790091872215271,9.999999747378752e-05,0.3513477146625519,0.9055793881416321,0.2953994572162628
4,0.9010797142982483,9.999999747378752e-05,0.302938848733902,0.9151168465614319,0.26774826645851135
5,0.9144172668457031,9.999999747378752e-05,0.2633362114429474,0.9275155067443848,0.23622357845306396
6,0.9275960326194763,9.999999747378752e-05,0.22489890456199646,0.9337148070335388,0.2107478529214859
7,0.936646580696106,9.999999747378752e-05,0.198501855134964,0.9351454377174377,0.19804257154464722
8,0.9450619220733643,9.999999747378752e-05,0.1749267578125,0.9427753686904907,0.18078498542308807
9,0.9482375383377075,9.999999747378752e-05,0.16067077219486237,0.9380066990852356,0.18181243538856506
10,0.9590346217155457,9.999999747378752e-05,0.14325101673603058,0.9437291622161865,0.16081927716732025
11,0.9637980461120605,9.999999747378752e-05,0.13174062967300415,0.9518359303474426,0.1470964252948761
12,0.9652270674705505,9.999999747378752e-05,0.11980592459440231,0.9523128271102905,0.1433735340833664
13,0.9714195132255554,9.999999747378752e-05,0.10410061478614807,0.9575583934783936,0.13313429057598114
14,0.9722133874893188,9.999999747378752e-05,0.09972352534532547,0.9585121870040894,0.13169360160827637
15,0.9765004515647888,9.999999747378752e-05,0.08901432901620865,0.9613733887672424,0.12306834012269974
16,0.9793585538864136,9.999999747378752e-05,0.08055387437343597,0.9604196548461914,0.12074562162160873
17,0.980152428150177,9.999999747378752e-05,0.07481835037469864,0.9651883840560913,0.11496494710445404
18,0.9817402362823486,9.999999747378752e-05,0.06996777653694153,0.9632808566093445,0.11409060657024384
19,0.9831692576408386,9.999999747378752e-05,0.0650583952665329,0.9613733887672424,0.11366837471723557
