Combination,Kernel,Feature_Dimension,Accuracy,Precision,Recall,F1_Score,Training_Time_s
ConvNeXt,Linear,768,0.9524940617577197,0.9523653558266973,0.9524940617577197,0.9523901369605059,9.086960554122925
ConvNeXt,RBF,768,0.9539192399049882,0.9548937586498673,0.9539192399049882,0.9541018473855232,150.2047369480133
ConvNeXt,Polynomial,768,0.9249406175771971,0.9269548696787291,0.9249406175771971,0.9248428937778559,131.85950088500977
MobileNetV2,Linear,1280,0.9729216152019002,0.9729943182638214,0.9729216152019002,0.972931821085134,
MobileNetV2,RBF,1280,0.9814726840855107,0.9815152530453554,0.9814726840855107,0.9814917727245527,
MobileNetV2,Polynomial,1280,0.9824228028503563,0.9824240374337243,0.9824228028503563,0.982422531740695,
MobileNetV2_plus_ConvNeXt,Linear,2048,0.9795724465558194,0.9795741678316714,0.9795724465558194,0.9795675302836682,23.675949335098267
MobileNetV2_plus_ConvNeXt,RBF,2048,0.978147268408551,0.9781305750138657,0.978147268408551,0.978135926507575,278.5558867454529
MobileNetV2_plus_ConvNeXt,Polynomial,2048,0.9828978622327791,0.9828708315881145,0.9828978622327791,0.9828811787457006,229.78341722488403
VGG16,Linear,512,0.9505938242280285,0.9508797519446481,0.9505938242280285,0.9506539325744727,
VGG16,RBF,512,0.9743467933491686,0.9743885314072046,0.9743467933491686,0.9743051354796447,
VGG16,Polynomial,512,0.9657957244655582,0.9668602352956106,0.9657957244655582,0.9659402170965574,
VGG16_plus_ConvNeXt,Linear,1280,0.9572446555819477,0.9572105094634847,0.9572446555819477,0.9571864695154735,152.12741208076477
VGG16_plus_ConvNeXt,RBF,1280,0.9719714964370546,0.9720235123612138,0.9719714964370546,0.9719460027963334,187.83570742607117
VGG16_plus_ConvNeXt,Polynomial,1280,0.9472684085510689,0.9506519057612245,0.9472684085510689,0.9477587885453181,177.62330532073975
VGG16_plus_MobileNetV2,Linear,1792,0.9724465558194775,0.9725609830884512,0.9724465558194775,0.9724801714493235,53.30520153045654
VGG16_plus_MobileNetV2,RBF,1792,0.978147268408551,0.9781633687535541,0.978147268408551,0.9781182807232757,228.44248700141907
VGG16_plus_MobileNetV2,Polynomial,1792,0.9648456057007125,0.9658920361449157,0.9648456057007125,0.964957313798772,179.52511858940125
VGG16_plus_MobileNetV2_plus_ConvNeXt,Linear,2560,0.9767220902612826,0.9767438756047974,0.9767220902612826,0.9767307548703381,84.12799310684204
VGG16_plus_MobileNetV2_plus_ConvNeXt,RBF,2560,0.975771971496437,0.9758014096913272,0.975771971496437,0.975730297814952,271.82036876678467
VGG16_plus_MobileNetV2_plus_ConvNeXt,Polynomial,2560,0.9624703087885986,0.963695149556746,0.9624703087885986,0.962603701143323,264.88632321357727
