Class,Precision,Recall,F1_Score,Support
EUS,0.9711340206185567,0.9671457905544147,0.9691358024691358,487
gill,0.9905482041587902,0.9961977186311787,0.9933649289099526,526
healthy,0.9963369963369964,0.9963369963369964,0.9963369963369964,546
red_spot,0.9724770642201835,0.9706959706959707,0.9715857011915674,546
