Class,Precision,Recall,F1,Support
EUS,0.9168490153172867,0.8603696098562629,0.8877118644067796,487.0
gill,0.9616122840690979,0.9524714828897338,0.9570200573065902,526.0
healthy,0.9314079422382672,0.945054945054945,0.9381818181818182,546.0
red_spot,0.8987783595113438,0.9432234432234432,0.9204647006255585,546.0
