Class,Precision,Recall,F1,Support
EUS,0.7954545454545454,0.9342915811088296,0.8593012275731823,487.0
gill,0.9762376237623762,0.9372623574144486,0.95635305528613,526.0
healthy,0.9189686924493554,0.9139194139194139,0.9164370982552801,546.0
red_spot,0.9608247422680413,0.8534798534798534,0.903976721629486,546.0
